latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.057022;3.714476;201312250036+0100;19593588
51.056984;3.7146811;201312250608+0100;30460679
51.038406;3.7296553;201312251451+0100;964169
50.88019;4.2511473;201312251514+0100;262475
50.861668;4.4750204;201312251524+0100;64461
50.87923;4.666252;201312251531+0100;68925
50.997192;4.8022957;201312251541+0100;11998026
50.997192;4.802296;201312251907+0100;18114776
50.997192;4.8022995;201312260015+0100;35447860
51.166862;4.7824388;201312261036+0100;63484
51.21133;4.5377035;201312261047+0100;6322
51.21429;4.4115834;201312261103+0100;2856228
51.214115;4.4006863;201312261202+0100;1667
51.213394;4.3912487;201312261211+0100;9620031
51.21766;4.401727;201312261505+0100;924
51.21689;4.40553;201312261511+0100;64197
51.21806;4.409724;201312261521+0100;341565
51.217335;4.4107428;201312261536+0100;449300
51.21429;4.411606;201312261550+0100;53163669
51.214302;4.4115744;201312270640+0100;9994717
51.216366;4.394152;201312270938+0100;20410836
51.216503;4.407605;201312271524+0100;317335
51.21751;4.411146;201312271534+0100;836959
51.214275;4.411574;201312271556+0100;83181857
51.21634;4.3941116;201312281514+0100;4622480
51.21431;4.4115887;201312281642+0100;3843761
51.217503;4.410906;201312281753+0100;2334660
51.214306;4.411568;201312281840+0100;54034894
51.213715;4.4045568;201312290948+0100;949587
51.214333;4.411615;201312291012+0100;62957540
51.214306;4.4115763;201312300345+0100;15675335
51.215893;4.4104404;201312300814+0100;249
51.21489;4.409567;201312300820+0100;2392465
51.213203;4.4091425;201312300907+0100;273240
51.21634;4.394154;201312300931+0100;14821063
51.214302;4.4115853;201312301356+0100;13543637
51.218884;4.4013433;201312301755+0100;426244
51.21429;4.411533;201312301817+0100;5168068
51.213646;4.412261;201312301948+0100;91452
51.214302;4.4115567;201312301955+0100;60938428
51.21632;4.394154;201312311302+0100;9122765
51.21649;4.4076986;201312311541+0100;640223
51.21566;4.407403;201312311558+0100;252191
51.214993;4.4051313;201312311607+0100;282078
51.214252;4.411548;201312311623+0100;7186366
51.205067;4.3903217;201312311831+0100;186018
51.098305;4.0395756;201312311841+0100;1343
51.17106;4.2577357;201312311848+0100;76413
51.04727;3.7131307;201312311908+0100;550301
51.047256;3.7130556;201312311921+0100;442288
51.047264;3.7130578;201312311936+0100;19055447
51.041393;3.7296295;201401010105+0100;7992054
51.046696;3.7144072;201401010326+0100;77722
51.057014;3.7145746;201401010336+0100;39485519
51.055317;3.7139964;201401011439+0100;6687803
51.057064;3.7144513;201401011637+0100;1066697
51.060875;3.7129426;201401011712+0100;185490
51.119564;3.727765;201401011721+0100;10265372
51.119576;3.7280097;201401012019+0100;2092985
51.057068;3.7144496;201401012115+0100;122115
51.038322;3.7657497;201401012133+0100;257284
51.055214;3.8305368;201401012142+0100;163281
51.13137;4.1029806;201401012149+0100;11814
51.18984;4.3057685;201401012156+0100;125955
51.216244;4.4140806;201401012209+0100;273
51.214226;4.411577;201401012215+0100;32313537
51.214252;4.4115653;201401020726+0100;18745907
51.218807;4.4029417;201401021249+0100;1499960
51.21566;4.4074607;201401021325+0100;83155
51.214256;4.411534;201401021336+0100;8650105
51.21149;4.4080024;201401021611+0100;1150
51.20669;4.395427;201401021618+0100;63297
51.211205;4.489805;201401021624+0100;783091
50.99719;4.802332;201401021706+0100;15971800
51.143253;4.860113;201401022157+0100;264057
51.207237;4.550705;201401022210+0100;5354
51.214268;4.4115515;201401022226+0100;34266993
51.21647;4.4075985;201401030805+0100;1903296
51.217636;4.4086914;201401030843+0100;312955
51.21431;4.4115295;201401030859+0100;16137526
51.216316;4.3941255;201401031339+0100;9130580
51.214245;4.4115763;201401031620+0100;5604971
51.217594;4.411271;201401031800+0100;246233
51.214256;4.411563;201401031813+0100;59819741
51.216343;4.3941545;201401041109+0100;10075281
51.218884;4.397461;201401041402+0100;238
51.216343;4.3941574;201401041408+0100;12345634
51.216503;4.4076133;201401041746+0100;742923
51.21472;4.4105563;201401041803+0100;61006
51.214283;4.4115343;201401041810+0100;43654348
51.214245;4.411553;201401050620+0100;7880436
51.21389;4.407093;201401050836+0100;269
51.2139;4.404092;201401050842+0100;88860
51.214897;4.4098487;201401050849+0100;138718
51.214256;4.4115243;201401050856+0100;2143560
51.214977;4.409692;201401050936+0100;180965
51.21425;4.411563;201401050946+0100;14045639
51.21426;4.4115624;201401051345+0100;65108780
51.21627;4.4010706;201401060756+0100;265
51.216293;4.3940563;201401060802+0100;35348180
51.21342;4.4109335;201401061759+0100;2747
51.208035;4.3995667;201401061805+0100;1161
51.199406;4.3899364;201401061811+0100;31320
51.19398;4.4054327;201401061817+0100;30630
51.193466;4.410496;201401061824+0100;7078075
51.19256;4.4112926;201401062030+0100;681090
51.199127;4.411129;201401062048+0100;810
51.209545;4.4078803;201401062055+0100;1199
51.21427;4.4116273;201401062101+0100;39481795
51.206738;4.395288;201401070803+0100;55040
51.20563;4.392132;201401070810+0100;61580
51.19553;4.394721;201401070817+0100;319075
51.01284;4.4511724;201401070826+0100;196461
50.911957;4.462239;201401070836+0100;490619
50.911957;4.462239;201401070849+0100;182075
50.88541;4.306107;201401070858+0100;490675
50.887356;4.305917;201401070911+0100;2699128
50.887306;4.305474;201401071026+0100;3111127
50.911404;4.3393416;201401071130+0100;63484
50.908875;4.4468193;201401071136+0100;140240
51.13914;4.4295464;201401071147+0100;136990
51.21513;4.412585;201401071200+0100;235
51.21668;4.401192;201401071213+0100;1259
51.21981;4.4010196;201401071219+0100;1635838
51.21613;4.3944697;201401071256+0100;17052404
51.21622;4.4006915;201401071745+0100;994
51.21598;4.408286;201401071754+0100;5059089
51.214268;4.4116273;201401071927+0100;47000226
51.20666;4.3913555;201401080843+0100;9632711
51.208355;4.393095;201401081128+0100;1777504
51.20586;4.3983274;201401081206+0100;65369
51.205196;4.398645;201401081213+0100;3179915
51.21632;4.3941126;201401081320+0100;17946776
51.214264;4.4115963;201401081830+0100;949538
51.217556;4.4108367;201401081852+0100;135981
51.214256;4.411601;201401081903+0100;48499639
