latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
-49.326958;-72.89073;201312251147-0300;1186491
-49.32693;-72.89073;201312251213-0300;4393711
-49.31661;-72.8989;201312251358-0300;842939
-49.32716;-72.89072;201312251440-0300;211887
-49.32688;-72.89085;201312251631-0300;71166228
-49.326935;-72.89074;201312261221-0300;370057
-49.326935;-72.89071;201312261231-0300;7882206
-49.33384;-72.88286;201312261536-0300;1469429
-50.339264;-72.263306;201312261842-0300;331102
-50.339516;-72.264885;201312261854-0300;1143395
-50.334602;-72.2535;201312261918-0300;3795662
-50.33566;-72.256226;201312262032-0300;262267
-50.337933;-72.26237;201312262041-0300;99804
-50.337955;-72.265114;201312262047-0300;425664
-50.337856;-72.26328;201312262107-0300;62026
-50.33813;-72.26397;201312262117-0300;831941
-50.33432;-72.25323;201312262147-0300;55396233
-50.3359;-72.2498;201312271317-0300;416002
-50.378677;-72.267525;201312271350-0300;130895
-50.380463;-72.28728;201312271401-0300;194619
-50.380917;-72.287834;201312271412-0300;123914
-50.390636;-72.26618;201312271515-0300;575322
-50.390537;-72.265976;201312271608-0300;813962
-50.38342;-72.25002;201312271637-0300;602017
-50.33453;-72.25434;201312271651-0300;4044481
-50.331738;-72.25796;201312271810-0300;2975041
-50.331364;-72.265564;201312271908-0300;474336
-50.328335;-72.26779;201312271922-0300;319204
-50.326447;-72.26547;201312271936-0300;669243
-50.32324;-72.2639;201312271959-0300;353116
-50.32087;-72.265884;201312272011-0300;2193882
-50.322838;-72.26707;201312272057-0300;340279
-50.32492;-72.271805;201312272110-0300;1405093
-50.333656;-72.26954;201312272142-0300;421455
-50.33793;-72.26318;201312272158-0300;446364
-50.338104;-72.26388;201312272212-0300;1515711
-50.338135;-72.263954;201312272252-0300;157721
-50.338585;-72.26535;201312272258-0300;831237
-50.338013;-72.25836;201312272321-0300;202900
-50.334606;-72.253494;201312272329-0300;2406408
-50.334274;-72.25474;201312280015-0300;1283422
-50.3346;-72.25351;201312280040-0300;1811818
-50.33426;-72.25475;201312280114-0300;2448768
-50.33459;-72.253494;201312280159-0300;28217904
-50.334236;-72.25478;201312280953-0300;957246
-50.334595;-72.253525;201312281015-0300;2120155
-50.339413;-72.26513;201312281057-0300;2212856
-50.42684;-72.75216;201312281213-0300;212019
-50.46873;-73.03357;201312281349-0300;1609132
-50.468742;-73.0323;201312281508-0300;1944310
-50.468445;-73.032555;201312281616-0300;211165
-50.469044;-73.033325;201312281640-0300;2359502
-50.472282;-73.032814;201312281747-0300;841956
-50.46935;-73.03019;201312281833-0300;2095233
-50.328896;-72.340454;201312282016-0300;1090912
-50.338383;-72.267265;201312282041-0300;252830
-50.33835;-72.258194;201312282052-0300;679702
-50.334606;-72.253525;201312282110-0300;1664114
-50.334282;-72.254715;201312282143-0300;1535198
-50.3346;-72.25352;201312282215-0300;2056765
-50.338245;-72.25928;201312282259-0300;128090
-50.338108;-72.264015;201312282308-0300;543009
-50.338203;-72.2661;201312282323-0300;867328
-50.33784;-72.26288;201312282349-0300;257749
-50.338303;-72.26047;201312282359-0300;2705837
-50.3383;-72.25957;201312290051-0300;194171
-50.33461;-72.2535;201312290100-0300;1483633
-50.33446;-72.25396;201312290133-0300;3900406
-50.334404;-72.25321;201312290245-0300;5662363
-50.334835;-72.25361;201312290427-0300;22251313
-50.33426;-72.25477;201312291043-0300;848739
-50.334606;-72.25349;201312291102-0300;937345
